scenario,threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session
with_page_values,0.76,149,44,233,2040,0.8876723438767234,0.6844695561294731,0.772020725388601,0.3900523560209424,0.5182608695652173,0.07826439578264396,193,2892.0,1.1727493917274938
with_page_values,0.77,143,41,239,2043,0.8864557988645579,0.6773359226618163,0.7771739130434783,0.3743455497382199,0.5053003533568904,0.0746147607461476,184,2778.0,1.1265206812652069
with_page_values,0.78,129,36,253,2048,0.8828061638280617,0.660210931454814,0.7818181818181819,0.337696335078534,0.47166361974405857,0.06690997566909976,165,2508.0,1.0170316301703164
with_page_values,0.79,116,28,266,2056,0.8807785888077859,0.6451146104450765,0.8055555555555556,0.3036649214659686,0.44106463878326996,0.058394160583941604,144,2264.0,0.9180859691808597
with_page_values,0.8,103,24,279,2060,0.8771289537712895,0.6290585965370663,0.8110236220472441,0.2696335078534031,0.4047151277013753,0.05150040551500405,127,2012.0,0.8158961881589619
with_page_values,0.81,99,23,283,2061,0.8759124087591241,0.6240629176673935,0.8114754098360656,0.2591623036649215,0.3928571428571429,0.0494728304947283,122,1934.0,0.7842660178426601
with_page_values,0.82,83,18,299,2066,0.8714517437145174,0.6043201254132708,0.8217821782178217,0.21727748691099477,0.34368530020703936,0.040957015409570155,101,1624.0,0.6585563665855637
with_page_values,0.83,80,14,302,2070,0.8718572587185726,0.6013531167408628,0.851063829787234,0.2094240837696335,0.3361344537815126,0.038118410381184104,94,1572.0,0.6374695863746959
with_page_values,0.84,73,10,309,2074,0.8706407137064072,0.5931505059742139,0.8795180722891566,0.19109947643979058,0.31397849462365596,0.033657745336577456,83,1440.0,0.583941605839416
with_page_values,0.85,66,7,316,2077,0.8690186536901865,0.5847079719829968,0.9041095890410958,0.17277486910994763,0.2901098901098901,0.029602595296025953,73,1306.0,0.5296025952960259
with_page_values,0.86,60,3,322,2081,0.8682076236820763,0.5778142617399081,0.9523809523809523,0.15706806282722513,0.26966292134831454,0.025547445255474453,63,1194.0,0.48418491484184917
with_page_values,0.87,51,3,331,2081,0.8645579886455799,0.5660341570278663,0.9444444444444444,0.13350785340314136,0.23394495412844035,0.021897810218978103,54,1014.0,0.41119221411192214
with_page_values,0.88,42,1,340,2083,0.8617193836171938,0.5547338987649607,0.9767441860465116,0.1099476439790576,0.1976470588235294,0.017437145174371452,43,838.0,0.3398215733982157
with_page_values,0.89,31,0,351,2084,0.8576642335766423,0.5405759162303665,1.0,0.08115183246073299,0.15012106537530268,0.012570965125709651,31,620.0,0.25141930251419303
with_page_values,0.9,19,0,363,2084,0.8527980535279805,0.524869109947644,1.0,0.049738219895287955,0.09476309226932667,0.007704785077047851,19,380.0,0.154095701540957
with_page_values,0.91,11,0,371,2084,0.8495539334955393,0.5143979057591623,1.0,0.028795811518324606,0.0559796437659033,0.004460665044606651,11,220.0,0.08921330089213302
with_page_values,0.92,8,0,374,2084,0.8483373884833739,0.5104712041884817,1.0,0.020942408376963352,0.041025641025641026,0.0032441200324412004,8,160.0,0.064882400648824
with_page_values,0.93,3,0,379,2084,0.8463098134630981,0.5039267015706806,1.0,0.007853403141361256,0.015584415584415583,0.0012165450121654502,3,60.0,0.024330900243309004
with_page_values,0.94,2,0,380,2084,0.845904298459043,0.5026178010471204,1.0,0.005235602094240838,0.010416666666666668,0.0008110300081103001,2,40.0,0.016220600162206
with_page_values,0.95,0,0,382,2084,0.8450932684509327,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0
